Date,Time,Open,High,Low,Close,Volume
2023.01.04,00:45,1.19603,1.19611,1.19602,1.19607,5
2023.01.04,01:00,1.1967,1.19762,1.19662,1.19707,570
2023.01.04,01:15,1.19706,1.19721,1.19594,1.19598,697
2023.01.04,01:30,1.19598,1.19686,1.19566,1.1965,582
2023.01.04,01:45,1.19646,1.1969,1.19632,1.19652,467
2023.01.04,02:00,1.19656,1.19872,1.19646,1.19852,1442
2023.01.04,02:15,1.19853,1.19874,1.19829,1.1986,825
2023.01.04,02:30,1.1986,1.19923,1.1986,1.19895,860
2023.01.04,02:45,1.19895,1.19941,1.19862,1.19894,588
2023.01.04,03:00,1.19896,1.19929,1.19828,1.19841,984
2023.01.04,03:15,1.19842,1.19913,1.19842,1.19874,1022
2023.01.04,03:30,1.19876,1.19952,1.19851,1.19922,1450
2023.01.04,03:45,1.19925,1.19959,1.19892,1.19933,1137
2023.01.04,04:00,1.19933,1.20006,1.19932,1.19994,810
2023.01.04,04:15,1.19998,1.19999,1.19892,1.19914,773
2023.01.04,04:30,1.19915,1.19916,1.19837,1.19858,748
2023.01.04,04:45,1.19859,1.19872,1.19833,1.19842,758
2023.01.04,05:00,1.19841,1.19901,1.19841,1.19867,683
2023.01.04,05:15,1.19869,1.19886,1.19851,1.19865,458
2023.01.04,05:30,1.19864,1.19886,1.19852,1.19873,503
2023.01.04,05:45,1.19875,1.19901,1.19857,1.19885,576
2023.01.04,06:00,1.19886,1.1989,1.19855,1.19865,404
2023.01.04,06:15,1.19864,1.19888,1.19852,1.1987,518
2023.01.04,06:30,1.19869,1.19878,1.19819,1.19863,591
2023.01.04,06:45,1.19864,1.1995,1.19831,1.19912,963
2023.01.04,07:00,1.19911,1.19994,1.19862,1.19896,1514
2023.01.04,07:15,1.19896,1.19921,1.1983,1.19833,855
2023.01.04,07:30,1.19835,1.1984,1.19781,1.19827,888
2023.01.04,07:45,1.19829,1.19853,1.19807,1.19839,833
2023.01.04,08:00,1.19835,1.19889,1.19792,1.19881,630
2023.01.04,08:15,1.19883,1.19894,1.19842,1.1987,722
2023.01.04,08:30,1.19868,1.19871,1.19709,1.19791,932
2023.01.04,08:45,1.19793,1.199,1.19793,1.19855,978
2023.01.04,09:00,1.19844,1.20069,1.19832,1.20062,1645
2023.01.04,09:15,1.20064,1.20129,1.20032,1.20118,1369
2023.01.04,09:30,1.20119,1.204,1.20117,1.20374,2210
2023.01.04,09:45,1.2038,1.20385,1.20214,1.2026,2287
2023.01.04,10:00,1.20255,1.20694,1.20251,1.20687,2314
2023.01.04,10:15,1.20679,1.20858,1.20671,1.20743,2909
2023.01.04,10:30,1.20744,1.2084,1.20592,1.20594,2516
2023.01.04,10:45,1.20594,1.20656,1.2042,1.2044,2170
2023.01.04,11:00,1.20438,1.20589,1.2038,1.20575,2405
2023.01.04,11:15,1.20567,1.20729,1.20561,1.2072,1571
2023.01.04,11:30,1.20718,1.20765,1.20614,1.20648,1444
2023.01.04,11:45,1.20646,1.20706,1.20578,1.20598,1311
2023.01.04,12:00,1.20598,1.20619,1.20515,1.20593,1889
2023.01.04,12:15,1.20591,1.20671,1.20564,1.20646,1591
2023.01.04,12:30,1.20644,1.20798,1.20638,1.20751,1759
2023.01.04,12:45,1.20754,1.20814,1.20628,1.2067,1568
2023.01.04,13:00,1.20667,1.20871,1.20645,1.20863,1630
2023.01.04,13:15,1.20864,1.20867,1.20581,1.20594,1470
2023.01.04,13:30,1.20598,1.20601,1.20482,1.20498,1342
2023.01.04,13:45,1.20497,1.20563,1.20379,1.20539,1291
2023.01.04,14:00,1.20538,1.20621,1.20507,1.20527,1397
2023.01.04,14:15,1.20525,1.20585,1.20483,1.20486,1480
2023.01.04,14:30,1.20486,1.20521,1.20392,1.20437,1446
2023.01.04,14:45,1.20438,1.20533,1.20341,1.20481,1243
2023.01.04,15:00,1.20484,1.20557,1.20328,1.20328,1778
2023.01.04,15:15,1.2033,1.20559,1.20289,1.20534,2539
2023.01.04,15:30,1.20535,1.20638,1.205,1.206,1756
2023.01.04,15:45,1.20598,1.20614,1.20508,1.20557,1607
2023.01.04,16:00,1.20548,1.20608,1.2042,1.20601,2182
2023.01.04,16:15,1.20604,1.20618,1.20469,1.20486,1938
2023.01.04,16:30,1.20487,1.20569,1.20398,1.20427,2538
2023.01.04,16:45,1.2042,1.20728,1.20386,1.20639,2325
2023.01.04,17:00,1.20665,1.20676,1.20133,1.20235,4620
2023.01.04,17:15,1.20232,1.20502,1.20182,1.20498,3483
2023.01.04,17:30,1.20504,1.20523,1.2037,1.20512,2640
2023.01.04,17:45,1.20511,1.20592,1.20426,1.20446,2944
2023.01.04,18:00,1.20446,1.20552,1.2033,1.20343,2221
2023.01.04,18:15,1.2035,1.20357,1.20187,1.20346,1929
2023.01.04,18:30,1.20346,1.20547,1.2032,1.205,2013
2023.01.04,18:45,1.20501,1.20597,1.20487,1.20596,1754
2023.01.04,19:00,1.20603,1.20712,1.20562,1.20645,1249
2023.01.04,19:15,1.20646,1.20691,1.20608,1.2064,1269
2023.01.04,19:30,1.20639,1.20735,1.20636,1.20698,1213
